COLORSHIFT;RAINBOW;CLEAR;COLORS
a shimmering color-shift, like oil.;a beautiful, never-mixing rainbow.;completely clear.;pink
a weird, metallic mix of green, brown and pink. Like oil.;a bit hard to tell, but it looks like a rainbow. The color never mixes.;entirely colorless.;hot pink
;a gorgeous rainbow, but it looks like the colors are mixing a bit...;translucent, but tinted red, almost pink-ish.;red
;;see-through, with an orange tint.;blood red
;;sort of tinted yellow... suspicious...;orange
;;tinted green.;metallic bronze
;;tinted blue, like the ocean.;blinding orange
;;tinted purple. How unique!;neon yellow
;;tinted brown, almost like a tea.;pale yellow
;;;yellow
;;;true green
;;;forest green
;;;pale green
;;;blue
;;;dark blue
;;;midnight blue
;;;sky blue
;;;indigo
;;;violet
;;;night-sky purple
;;;fuschia
;;;milky white
;;;metallic silver
;;;dirty brown
;;;soft brown
;;;inky black
