INGESTIBLE;SPLASH;DROPLET;POWDER;OTHER
a conical, smooth glass;a spray bottle;a glass syringe;a tightly tied bandana;a circular container
a square glass bottle;a delicate, decorated clear bottle;a medical vial;a carefully folded burlap cloth;a square-shaped container
a leather waterskin;an inhaler;a glass pipet;a closed glass tupperware container;a rount bowl with a sticky covering
a stone flask;a tear-shaped glass bottle;a metal vial;a capped shot bottle;
a steel metal thermos;a translucent green beer bottle;a tiny, plastic syringe;a capped triangular flask;
a shot bottle;a clear wine bottle;a steel pipet;a capped round flask;
a capped horn;a funky, star-shaped glass;;;
an ornate, decorated glass bottle;a lightly cracked shot bottle;;;
a geometric diamond glass;a highly cracked bone flask;;;
a translucent green wine bottle;a conical, smooth glass;;;
a translucent brown beer bottle;a square glass bottle;;;
a leather pouch;;;;
a bone flask;;;;
a twist-cap bottle;;;;
