TITLED;NOTITLE;DESC;NODESC;NOTHING
The label says it's called;There's no name on the label but it does have a painfully detailed recipe if you unfold this paper.;It has a full description in ornate Elvish.;The label is torn right where the description is. I guess we have to trust the name on it.;It seems like there was writing on this label here, but it's been rubbed off.
The label reads;There's no title, but it has a surprisingly short ingredients list.;There's a short description in illegible Dwarven runes.;The label only has the name of the concoction. No telling what it does.;If there was any writing on the label, it's faded beyond belief now.
It's called;;It has a description of the side effects... in Gnomish.;;There's a paper label glued to the container, but there's nothing on it.
The name of it is;;"It says ""USE ONLY IN EMERGENCIES"". Is this an emergency?";;There's writing here, but it's stained by bloody fingerprints. Yikes...
The name is;;"The subscript says ""Whatever happens isn't my fault.""";;There writing is just a bunch of weird, nonsense symbols.
The name says;;"Oh, look, it says it's ""not tested on animals.""";;Damn, the label is torn. There's no name or anything.
It's titled;;"Seems like it's a ""new, delicious flavor!""";;
;;There's some writing in ancient Elvish under the title.;;
;;The description is entirely in Draconic.;;
;;This explanation looks like Abyssal... uh, is this safe?;;
;;The description is in a language you understand, luckily. Hopefully it's accurate.;;
