ADVERBS;SENSE;NOADVERB
a lot like;an antiseptic. Very medical.;like nothing at all.
a little like;raw fish.;strong... but pleasant?
strongly of;an apple.;somewhat comforting... reminds you of a time where you felt safe.
overwhelming, like;garlic.;delicate, subtle.
like;flowers.;faint.
intoxicatingly similar to;a hyacinth.;heady.
like spice mixed with;jasmine flowers.;pungent.
like fruit mixed with;freshly brewed tea.;spicy. It's got a punch to it!
like it is mixed with;green tea.;rich.
crisply like;honeysuckle.;intoxicating... how lovely.
faintly like;nightshade...? Oh dear. Hopefully it's not bad.;piquant. It stings your nostrils.
subtly like;roses.;heavy.
similar to;cooked fish... weird.;laden.
reminiscent of;cooked chicken.;fetid... like death.
;sweet basil.;acrid and bitter.
;yummy chives!;funky! In the bad way!
;cilantro. (Does it taste like soap or onions to you?);funky! In a good way!
;salsa. Ooh!;unbelievably nasty.
;dillweed.;RANK! Yuck!
;fern.;ripe.
;knotted marjoram.;sickly. Oh, don't gag!
;peppermint.;super, super sour. Oooh!
;spearmint.;kind of stale.
;oregano!;super delicious. You're satisfied.
;flat-leaf parsley.;lovely and fresh.
;rosemary. How witchy!;crisp and sharp.
;sage. You feel... cleansed.;savoury.
;tarragon.;tangy!
;thyme.;citrusy... you can't put your finger on it...
;blood... oh. Oh no.;coppery.
;metal.;earthy, like soil.
;steel. Maybe that's just some nearby armor getting into your head, though.;medicinal.
;iron. Fae beware!;smokey.
;gold. Who knew that had a smell?;woody.
;bananas!;
;coconuts. How tropical!;
;almonds. Hope you aren't allergic!;
