POTIONTEX;POTIONTASTE;POWDERTEX;POWDERSWAL;PASTESGELS;;;
thick and sludgy.;thick and sludgy. It hurts going down.;medium-sized crystals that remind you of sand.;flaky and hard to swallow.;really sticky.;;;
thin and watery.;slimey and a sensory nightmare.;loose and flaky.;like a bunch of little crystals. Chewing doesn't work, you have to swallow it whole.;runny and gross.;;;
airy and bubbly.;airy and bubbly. You feel a little lighter after drinking it...;crystal-like and tiny.;a fine powder that melts in your mouth.;snotty... ewww...;;;
bubbly, like you shook up something carbonated.;bubbly, like a carbonated drink.;a fine powder.;crunchy, like the skin on fried chicken!;acceptably sticky.;;;
thick and slimey.;painfully viscous.;oddly crunchy.;;tacky and weird... you do NOT like it.;;;
sooo viscious!;sick and oily... 10/10 would NOT recommend.;;;gooey and doesn't really hold its shape.;;;
smooth but oily. It's kind of weird.;thick, like whole milk.;;;weirdly chalky, like it has a translucent powder on it!;;;
nice and milky.;so light that it's almost gaseous. You barely even notice it going down.;;;firm. The shape only dips where you touch it.;;;
incredibly light, like you're not holding anything.;silky smooth and easy to swallow.;;;jello-like and jiggly. When you move, it moves, too.;;;
smooth when you swirl it.;watery. So, like nothing.;;;satisfyingly slime-like.;;;
weirdly watery.;;;;;;;
acceptably watery.;;;;;;;
;;;;;;;
;;;;;;;
